[server32] starting on 10.0.0.1 (duration=30s)
[stream] Starting data stream...
[stream] seq=2 sent 21 bytes to ('224.0.0.1', 10000)[repair] Listening for NACKs on port 9001...
[stream] seq=89 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=90 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=91 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=92 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=93 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=94 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=95 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=96 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=97 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=98 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=99 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=100 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=101 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=102 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=103 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=104 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=105 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=106 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=107 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=108 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=109 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=110 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=111 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=112 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=113 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=114 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=115 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=116 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=117 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=118 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=119 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=120 sent 21 bytes to ('224.0.0.1', 10000)
[stream] seq=121 sent 21 bytes to ('224.0.0.1', 10000)
[server32] Duration elapsed, saving stats.
[{label}] Stats saved to /tmp/satcom_stats/jamming_use_case_32_server.json
